,Open,High,Low,Close,Volume,Daily Range
2024-08-30,438.61,443.88,437.15,442.04,940972,6.730000000000018
2024-09-03,446.51,448.98,437.22,440.37,924327,11.759999999999991
2024-09-04,440.37,440.44,435.03,437.45,1000768,5.410000000000025
2024-09-05,436.79,437.35,431.555,437.31,568147,5.795000000000016
2024-09-06,436.47,439.0665,430.45,431.5,732493,8.61650000000003
2024-09-09,434.19,440.39,432.53,438.87,1073458,7.860000000000014
2024-09-10,439.01,442.44,437.56,438.1,761702,4.8799999999999955
2024-09-11,436.55,436.55,428.89,435.89,952057,7.660000000000025
2024-09-12,433.96,441.22,433.48,439.8,1016499,7.740000000000009
2024-09-13,439.26,442.38,438.27,441.76,543799,4.110000000000014
2024-09-16,443.2,445.21,441.03,443.18,611573,4.180000000000007
2024-09-17,443.06,444.38,437.55,438.91,714901,6.829999999999984
2024-09-18,438.13,440.41,433.24,436.58,604780,7.170000000000016
2024-09-19,440.0,440.92,437.14,438.81,903869,3.7800000000000296
2024-09-20,437.35,442.89,436.57,442.57,1360553,6.319999999999993
2024-09-23,443.11,447.47,441.4,447.11,449514,6.07000000000005
2024-09-24,448.2,450.54,443.1401,450.13,675732,7.399900000000002
2024-09-25,451.45,452.0,448.5,450.49,490431,3.5
2024-09-26,449.62,451.3,447.5343,448.11,496761,3.765700000000038
2024-09-27,447.26,448.06,444.1,446.36,515615,3.9599999999999795
2024-09-30,446.76,450.95,444.79,449.63,692536,6.159999999999968
2024-10-01,449.81,449.87,446.28,449.08,504130,3.590000000000032
2024-10-02,447.13,450.24,446.4201,449.5,362174,3.8199000000000183
2024-10-03,448.2,449.58,443.82,449.11,612075,5.759999999999991
2024-10-04,449.25,450.54,445.6206,450.3,627220,4.919399999999996
2024-10-07,449.62,452.515,448.48,449.19,621570,4.034999999999968
2024-10-08,452.52,458.91,452.48,457.91,700575,6.430000000000007
2024-10-09,457.76,467.89,455.38,466.55,676088,12.509999999999991
2024-10-10,466.55,467.45,461.46,464.63,701008,5.990000000000009
2024-10-11,465.99,469.01,463.71,467.94,531283,5.300000000000011
2024-10-14,469.83,475.97,468.96,472.99,487536,7.010000000000048
2024-10-15,476.12,477.89,473.03,473.41,577089,4.860000000000014
2024-10-16,471.65,476.83,469.4201,476.55,426600,7.409899999999993
2024-10-17,479.04,480.2799,476.37,477.62,484425,3.9098999999999933
2024-10-18,476.07,476.82,473.65,475.2,651118,3.170000000000016
2024-10-21,475.96,478.5,475.51,477.1,627792,2.990000000000009
2024-10-22,472.7,476.1405,469.98,470.18,615470,6.160499999999956
2024-10-23,469.96,472.36,466.1,467.08,839845,6.259999999999991
2024-10-24,466.77,468.2499,464.3347,465.38,399885,3.915200000000027
2024-10-25,465.38,466.99,461.58,462.32,335728,5.410000000000025
2024-10-28,465.73,465.73,453.8001,457.39,682402,11.929900000000032
2024-10-29,458.21,460.88,457.53,458.23,770837,3.3500000000000227
2024-10-30,458.2,458.395,452.79,453.0,659092,5.604999999999961
2024-10-31,452.0,453.95,448.87,449.35,1033597,5.079999999999984
2024-11-01,452.02,456.64,451.9405,453.89,1098320,4.6995000000000005
2024-11-04,456.12,460.54,455.465,458.18,511449,5.0750000000000455
2024-11-05,458.07,462.955,458.07,462.09,551400,4.884999999999991
2024-11-06,479.28,479.78,464.417,469.13,742541,15.363
2024-11-07,470.23,471.61,465.955,469.95,795158,5.65500000000003
2024-11-08,486.055,506.72,484.39,504.6,1185681,22.33000000000004
2024-11-11,506.0,507.82,496.92,496.96,806002,10.899999999999977
2024-11-12,500.36,501.7493,493.01,497.45,750884,8.739300000000014
2024-11-13,497.0,499.81,493.43,496.7,543473,6.3799999999999955
2024-11-14,496.0,498.78,492.305,493.7,553772,6.474999999999966
2024-11-15,489.5,494.52,487.1592,489.0,726244,7.360799999999983
2024-11-18,488.63,494.38,486.61,490.35,664306,7.769999999999982
2024-11-19,487.81,489.94,484.53,487.46,484333,5.410000000000025
2024-11-20,489.96,493.52,485.18,492.6,588912,8.339999999999975
2024-11-21,494.66,496.2712,491.3,494.84,688968,4.97120000000001
2024-11-22,497.14,502.46,496.37,500.9,520517,6.089999999999975
2024-11-25,500.61,502.025,487.19,488.37,2619876,14.83499999999998
2024-11-26,496.47,498.0,491.03,496.58,611077,6.970000000000027
